Insurance Company,BCBS Prefix,LOC,Total Units,Allowed %,Paid %,Avg Daily Rate,Last Paid
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,ALR,CD IOP,34,35.10%,35.10%,"$1,000.00",08/07/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,ALR,MH IOP,9,25.60%,25.60%,$777.78,10/20/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,ALR,OP GROUP,4,35.00%,35.00%,$628.00,08/14/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,APH,CD PHP,20,26.90%,16.60%,$861.30,03/14/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,APH,CD IOP,46,47.40%,47.40%,"$1,387.89",05/16/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,APH,MH IOP,6,55.00%,55.00%,"$1,647.25",06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,APH,OP GROUP,5,55.00%,55.00%,$987.25,06/13/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,AZL,CD PHP,12,27.00%,25.00%,"$1,000.00",11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,DTU,DTX,9,54.50%,54.50%,"$3,139.09",08/02/2022
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,DTU,CD PHP,7,16.20%,11.40%,$535.08,11/27/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,EXH,DTX,8,58.20%,35.40%,"$3,209.10",05/16/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,EXH,CD RTC,1 24,66.10%,64.20%,"$3,175.33",07/10/2023
ANTHEM BLUE CROSS AND BLUE SHIELD OF CONNECTICUT,S5K,CD PHP,16,21.30%,8.70%,$743.42,03/03/2023
